time,open,high,low,close,volume,
1.63E+12,49099.97,49099.98,49042.59,49078.07,28.29475,
1.63E+12,49078.06,49078.07,49055.68,49059.39,9.10459,
1.63E+12,49059.39,49066.62,49035.41,49056.03,17.94067,
1.63E+12,49056.02,49099.97,49021.59,49090,35.0296,
1.63E+12,49090,49130.22,49084.23,49127.02,31.70891,
1.63E+12,49127.02,49131.85,49114.96,49114.97,7.02367,
1.63E+12,49114.96,49126.99,49110.02,49126.98,6.34055,
1.63E+12,49126.98,49136.35,49115.36,49132.66,5.60572,
1.63E+12,49132.65,49165.84,49132.65,49159.7,10.19148,
1.63E+12,49159.69,49179.99,49159.69,49176.37,18.3836,
1.63E+12,49176.38,49180.01,49151.51,49155.81,10.44461,
1.63E+12,49155.81,49169.98,49150,49166.29,10.86753,
1.63E+12,49166.29,49169.29,49150.01,49150.02,14.54425,
1.63E+12,49150.01,49170,49139,49139.79,7.69567,
1.63E+12,49139.79,49153.66,49139.78,49148.24,5.05089,
1.63E+12,49148.25,49148.25,49123.92,49124.53,6.96891,
1.63E+12,49124.53,49146.87,49110,49143.81,7.10132,
1.63E+12,49143.81,49167.45,49134.34,49158.51,13.1003,
1.63E+12,49155.05,49159.45,49134.34,49140.91,8.26918,
1.63E+12,49140.91,49142.83,49122.06,49122.06,10.23819,
1.63E+12,49122.07,49122.85,49103.02,49103.02,5.84145,
1.63E+12,49103.03,49150,49095.41,49141.51,7.61847,
1.63E+12,49141.51,49141.52,49110.79,49116.34,6.53967,
1.63E+12,49116.34,49127.96,49092.15,49092.15,7.40114,
1.63E+12,49092.16,49096.99,49085.6,49092.4,9.91701,
1.63E+12,49092.4,49097,49082.71,49086.39,8.40511,
1.63E+12,49086.4,49086.4,49056.26,49059.97,19.03083,
1.63E+12,49059.97,49060,49055.55,49059.99,16.11137,
1.63E+12,49060,49060,49029.99,49033.33,15.82936,
1.63E+12,49033.32,49074.41,49022.47,49050.01,19.04581,
1.63E+12,49050.01,49050.01,49010.95,49020.01,17.42135,
1.63E+12,49020,49020.01,48984.58,48987.98,26.74685,
1.63E+12,48987.98,49021,48977.57,49019.18,24.15054,
1.63E+12,49019.18,49054.87,49018.85,49053.99,12.32638,
1.63E+12,49053.99,49064.89,49033.36,49035.2,6.92205,
1.63E+12,49035.2,49055.78,49032.88,49037.4,5.68817,
1.63E+12,49037.39,49039.99,49035.34,49035.35,6.44539,
1.63E+12,49035.34,49080.43,49035.34,49079.28,11.3023,
1.63E+12,49079.28,49095,49069.79,49088.01,7.64179,
1.63E+12,49088.02,49088.02,49055.86,49064.83,5.06712,
1.63E+12,49064.84,49068.89,49041.01,49042.35,9.61137,
1.63E+12,49042.35,49060,49035.19,49035.2,11.75224,
1.63E+12,49035.2,49037.31,48985.2,48987.9,14.33511,
1.63E+12,48987.89,48996.85,48975.81,48991.41,18.12541,
1.63E+12,48991.41,49038.11,48984.66,49016.15,13.44613,
1.63E+12,49016.15,49036.65,49016.14,49024.55,10.72707,
1.63E+12,49024.55,49028.87,48991.33,48991.36,9.61112,
1.63E+12,48991.36,49054.12,48987.5,49050.16,17.56884,
1.63E+12,49050.15,49050.79,49037,49050.77,11.29822,
1.63E+12,49050.77,49050.78,49014.62,49022.99,9.97089,
1.63E+12,49022.99,49033.42,49018.95,49031.51,24.08139,
1.63E+12,49031.52,49055,49018.96,49044.35,10.5834,
1.63E+12,49044.35,49050,49028.35,49028.36,8.71977,
1.63E+12,49028.35,49050,49028.35,49048.61,10.94974,
1.63E+12,49048.61,49048.86,49018,49018.03,13.81473,
